City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,anadyr,64.75,177.4833,11.28,100,75,5.0,RU,1722476495
111,port elizabeth,-33.918,25.5701,10.16,92,0,3.6,ZA,1722476497
112,udachny,66.4167,112.4,11.74,47,98,3.01,RU,1722476499
113,arraial do cabo,-22.9661,-42.0278,18.98,100,100,1.54,BR,1722476171
114,wynyard,-41.0,145.7167,10.28,70,100,3.57,AU,1722476505
115,nejo,9.5,35.5,13.48,99,100,0.71,ET,1722476507
116,drayton valley,53.2168,-114.9854,16.31,81,8,4.22,CA,1722476508
117,hermanus,-34.4187,19.2345,5.45,78,0,2.79,ZA,1722476510
118,bonthe,7.5264,-12.505,24.66,89,97,4.97,SL,1722476512
119,talcahuano,-36.7167,-73.1167,11.82,94,100,15.95,CL,1722476514
120,undurkhaan,47.3194,110.6556,21.4,70,61,4.54,MN,1722476516
121,komsomol'skiy,43.9783,46.6985,24.52,44,63,3.45,RU,1722476518
122,maumere,-8.6199,122.2111,27.95,67,72,0.81,ID,1722476520
123,yemetsk,63.4721,41.7941,15.27,81,100,0.81,RU,1722476522
124,toliara,-23.35,43.6667,16.34,78,0,4.61,MG,1722476524
125,ust-nera,64.5667,143.2,4.56,96,100,3.17,RU,1722476526
126,east london,-33.0153,27.9116,11.98,51,0,3.75,ZA,1722476528
127,bansoa,5.4472,10.3151,15.91,96,98,1.94,CM,1722476531
128,alice springs,-23.7,133.8833,15.75,25,0,4.12,AU,1722476533
129,hilo,19.7297,-155.09,27.85,72,0,4.63,US,1722476253
130,mayya,61.7333,130.2811,14.62,36,20,3.99,RU,1722476537
131,argostolion,38.1811,20.489,26.53,31,0,1.46,GR,1722476540
132,gulf breeze,30.3571,-87.1639,30.53,85,0,2.57,US,1722476542
133,saint croix,17.7397,-64.7388,25.25,94,75,3.09,VI,1722476544
134,itoigawa,37.0333,137.85,29.45,71,100,2.51,JP,1722476546
135,new mirpur,33.1418,73.7674,29.04,73,17,4.26,PK,1722476548
136,iskateley,67.6803,53.1512,17.29,85,100,3.49,RU,1722476550
137,saudarkrokur,65.7461,-19.6394,10.79,83,100,1.76,IS,1722476552
138,antsohihy,-14.8796,47.9875,17.38,76,0,2.37,MG,1722476554
139,yeniseysk,58.4497,92.1703,20.58,63,17,1.76,RU,1722476556
140,juneau,58.3019,-134.4197,12.0,94,100,2.57,US,1722476558
141,san francisco tepeolulco,19.8337,-99.9852,12.07,92,100,2.21,MX,1722476560
142,imbituba,-28.24,-48.6703,18.81,93,86,5.88,BR,1722476562
143,vila velha,-20.3297,-40.2925,20.53,95,75,2.68,BR,1722476563
144,tura,25.5198,90.2201,27.26,82,28,1.39,IN,1722476565
145,al hazm,16.1641,44.7769,26.81,48,100,7.38,YE,1722476567
146,okhotsk,59.3833,143.3,11.58,90,100,1.85,RU,1722476569
147,nar'yan-mar,67.6713,53.087,17.3,85,100,3.54,RU,1722476571
148,keflavik,64.0049,-22.5624,10.24,87,75,3.6,IS,1722476573
149,tezu,27.9167,96.1667,30.57,63,29,1.06,IN,1722476575
150,san antonio de pale,-1.4014,5.6325,22.43,77,79,4.51,GQ,1722476579
151,ar rutbah,33.0381,40.2848,27.01,38,0,3.74,IQ,1722476581
152,aioi,34.8036,134.4681,31.86,71,4,0.89,JP,1722476583
153,coahuayana de hidalgo,18.7,-103.6583,25.78,89,100,1.49,MX,1722476585
154,vadso,70.0744,29.7487,13.09,82,75,9.26,NO,1722476587
155,klaksvik,62.2266,-6.589,10.51,92,93,5.2,FO,1722476589
156,lamar,33.6668,-95.5836,30.55,69,0,4.04,US,1722476590
157,colonia,50.9333,6.95,19.9,89,0,3.6,DE,1722476457
158,mogocha,53.7333,119.7667,20.58,37,2,1.87,RU,1722476594
159,aykhal,66.0,111.5,11.09,51,6,2.98,RU,1722476596
160,andilamena,-17.0167,48.5833,11.96,90,53,2.42,MG,1722476598
161,ke-macina,13.9623,-5.3572,26.7,79,100,6.64,ML,1722476600
162,p'ot'i,42.1462,41.672,19.98,85,9,2.81,GE,1722476602
163,taro,-8.3862,115.28,24.0,59,8,0.58,ID,1722476604
164,kavaratti,10.5669,72.642,26.87,87,100,5.98,IN,1722476606
165,komsomolets,53.7453,62.0708,18.57,75,100,1.97,KZ,1722476608
166,murzuq,25.9155,13.9184,27.97,31,91,5.18,LY,1722476610
167,bandarbeyla,9.4942,50.8122,25.27,74,53,12.25,SO,1722476612
168,ustyuzhna,58.8394,36.4321,11.66,98,57,1.99,RU,1722476613
169,belyy yar,53.6039,91.3903,18.94,82,0,2.0,RU,1722476615
170,tomohon,1.3346,124.8392,26.52,53,36,1.4,ID,1722476617
171,georgetown,5.4112,100.3354,29.96,78,20,2.57,MY,1722476388
172,tazovsky,67.4667,78.7,15.22,85,97,5.0,RU,1722476621
173,muroran,42.3172,140.9881,21.94,84,100,0.76,JP,1722476623
174,yinchuan,38.4681,106.2731,30.57,28,12,2.99,CN,1722476625
175,kegen,43.0197,79.2203,18.27,50,0,2.31,KZ,1722476627
176,port moresby,-9.4431,147.1797,29.68,66,40,5.14,PG,1722476629
177,hays,30.0502,-98.0336,30.51,68,0,2.68,US,1722476631
178,gangapur,26.4833,76.7167,26.31,82,100,1.34,IN,1722476633
179,yuzhno-kurilsk,44.0306,145.8556,18.11,86,64,3.21,RU,1722476635
180,poronaysk,49.2167,143.1167,15.29,92,99,4.14,RU,1722476637
181,whitefish,48.4111,-114.3376,28.86,38,0,3.09,US,1722476638
182,pasni,25.2631,63.471,27.92,91,58,6.39,PK,1722476640
183,horta,38.5333,-28.6333,21.12,86,79,2.24,PT,1722476642
184,xunchang,28.4543,104.715,29.27,69,0,0.45,CN,1722476644
185,fredericksburg,38.3032,-77.4605,28.54,75,0,0.0,US,1722476560
186,kruisfontein,-34.0033,24.7314,7.08,68,0,2.73,ZA,1722476648
187,tyup,42.7276,78.3648,20.97,51,0,0.57,KG,1722476650
188,seaside,36.6111,-121.8516,18.84,89,0,4.12,US,1722476575
189,tofol,5.3248,163.0078,27.87,74,100,2.43,FM,1722476654
190,port blair,11.6667,92.75,28.02,89,75,3.6,IN,1722476656
191,susuman,62.7833,148.1667,2.74,94,100,2.19,RU,1722476660
192,whakatane,-37.9585,176.9854,11.1,76,100,4.98,NZ,1722476661
193,gadzhiyevo,69.2551,33.3362,9.81,92,99,7.13,RU,1722476663
194,bargaal,11.2864,51.0773,28.87,58,59,10.54,SO,1722476665
195,dampit,-8.2116,112.7493,27.23,71,36,1.7,ID,1722476667
196,zeya,53.75,127.2667,21.91,41,0,5.13,RU,1722476669
197,twentynine palms,34.1356,-116.0542,38.37,16,0,3.76,US,1722476390
198,la ronge,55.1001,-105.2842,28.14,30,40,3.09,CA,1722476673
199,tsiombe,-25.3,45.4833,15.17,85,6,1.35,MG,1722476675
200,vydrino,51.485,104.8461,15.1,100,100,2.48,RU,1722476677
201,sinabang,2.4803,96.3801,28.32,78,100,1.08,ID,1722476679
202,bazarnyye mataki,54.8833,49.9333,14.65,88,24,3.04,RU,1722476681
